drugName	cui	tty
Nogenic HC	C0722125	BN
Nohist A	C1739209	BN
Nohist EXT	C1949466	BN
Nohist	C1612465	BN
Nolahist	C0307019	BN
Nolamine	C0722126	BN
Noltam	C1177006	BN
Noludar	C0702206	BN
Nolvadex Forte	C0591870	BN
Nolvadex-D	C0591871	BN
Nolvadex	C0919390	BN
Nomifensine Maleate	C0877847	IN
Nomifensine	C0028277	IN
Nomuc-PE	C1740869	BN
Non Aspirin Extra Strength	C0722127	BN
Non Aspirin Flu	C0722128	BN
Non-Aspirin Children's Pain Reliever	C1634589	BN
Non-Aspirin Childrens Cold	C0722132	BN
Non-Aspirin PM	C0722135	BN
Non-Aspirin Pain Reliever	C1653527	BN
Non-Aspirin Pain	C0722136	BN
Non-Aspirin Sinus	C0722137	BN
Non-Aspirin	C0722138	BN
Non-Drowsy Sinus Maximum Strength	C0722139	BN
Nonbac	C1170435	BN
Nonoxynol-9	C0132776	IN
Nonoxynol	C0068943	IN
Nor-QD	C0699165	BN
Nora-Be	C1170436	BN
Norco	C0722140	BN
Norcuron	C0700018	BN
Nordazepam	C0011279	IN
Nordette	C0733743	BN
Norditropin Cartridge	C0939407	BN
Norditropin	C0699617	BN
Nordox	C0591872	BN
Norel DM	C0939408	BN
Norel EX	C1694886	BN
Norel LA	C1654903	BN
Norel SD	C1330422	BN
Norel SR	C1590508	BN
Norel	C0722143	BN
Norepinephrine Bitartrate	C0028333	IN
Norepinephrine	C0028351	IN
Norethandrolone	C0028355	IN
Norethin 1/50 M	C0722145	BN
Norethin brand of ethinyl estradiol and norethindrone	C1328789	BN
Norethindrone	C0028356	IN
Norethynodrel	C0028360	IN
Norflex Injectable	C0307032	BN
Norflex	C0877881	BN
Norfloxacin	C0028365	IN
Norgalax	C0731290	BN
Norgesic forte	C0068991	BN
Norgesic	C0722146	BN
Norgestrel	C0028368	IN
Norgestrienone	C0028369	IN
Norimode	C0731292	BN
Norinyl 1-50	C0132838	BN
Norinyl	C0068995	BN
Norisodrine with Calcium Iodine	C0722149	BN
Noritate	C0722150	BN
Normal saline	C0445115	IN
Normaloe	C0592924	BN
Normasol Unidine	C1177043	BN
Normasol	C0731294	BN
Normiflo	C0297267	BN
Normison	C0591878	BN
Normodyne	C0600256	BN
Normosol-M and 5% Dextrose	C0722152	BN
Normosol-R and 5% Dextrose	C0722153	BN
Noroxin	C0699473	BN
Norpace CR	C0722154	BN
Norpace	C0701129	BN
Norplant	C1145675	BN
Norpramin	C0701352	BN
Norprolac	C0591881	BN
Nortrel	C1170438	BN
Nortriptyline Hydrochloride	C0700459	IN
Nortriptyline	C0028420	IN
Nortuss EX	C1601515	BN
Norval	C1263088	BN
Norvasc	C0162712	BN
Norvaxs	C1601957	BN
Norvir Soft Gelatin	C0876108	BN
Norvir	C0678152	BN
Norwich Aspirin	C0722155	BN
Norzol	C0591882	BN
Noscapine	C0028426	IN
Nostril Nasal Decongestant	C0307059	BN
Nostrilla	C0722156	BN
Notriptyline	C1612449	BN
Notuss PD	C1635244	BN
Notuss	C0722157	BN
Novacet	C0722158	BN
Novacort	C1589083	BN
Novadyne DH	C0722159	BN
Novadyne Expectorant	C0722160	BN
Novafed A	C0722161	BN
Novagesic	C1619301	BN
Novagest with Codeine	C0722162	BN
Novahistine DH	C0307063	BN
Novahistine DMX	C0307064	BN
Novahistine Elixir	C0307065	BN
Novahistine Expectorant	C0307066	BN
Novamine	C0722163	BN
Novantrone	C0282248	BN
Novarel	C0722164	BN
Novasal	C1330427	BN
Novasus	C1873807	BN
Novo Nordisk brand of Insulin, Isophane, Pork	C1177024	BN
Novo Nordisk brand of Insulin, Lente, Pork	C1177025	BN
Novo Nordisk brand of Insulin, Zinc, Beef	C1165281	BN
Novo Nordisk brand of insulin nph beef	C1165279	BN
Novo Nordisk brand of insulin regular pork	C1165284	BN
Novo Nordisk brand of insulin ultralente beef	C1165285	BN
Novo brand of Insulin, Extended Zinc, Beef	C1577412	BN
NovoLog Mix 70/30	C1170447	BN
NovoLog Penfill	C1254218	BN
NovoLog	C0939412	BN
NovoNorm	C0732644	BN
NovoSeven	C0593103	BN
Novobiocin Sodium	C0282265	IN
Novobiocin	C0028458	IN
Novocaine	C0028460	BN
Novolin 70/30 PenFill	C1254221	BN
Novolin 70/30	C0307068	BN
Novolin L	C0307070	BN
Novolin N PenFill	C1330434	BN
Novolin N	C0307071	BN
Novolin R	C0307073	BN
Noxafil	C1174778	BN
Noxene	C1602343	BN
Noxyflex-S	C0700019	BN
Noxythiolin	C0028476	IN
Nu-Iron 150	C0722168	BN
Nu-Iron	C0722167	BN
Nu-K	C1177014	BN
Nu-Med	C0722171	BN
Nu-Seals Aspirin	C0591883	BN
NuOx	C1638292	BN
NuPro	C0168635	BN
NuZon	C1636753	BN
Nubain	C0028569	BN
Nuco-Tuss Expectorant	C0722174	BN
Nuco-Tuss Pediatric Expectorant	C0722175	BN
Nucochem Expectorant	C0722177	BN
Nucochem Pediatric Expectorant	C0722178	BN
Nucochem	C0722176	BN
Nucodine Expectorant	C0722180	BN
Nucodine Pediatric	C0722181	BN
Nucodine	C0722179	BN
Nucofed Expectorant	C0307079	BN
Nucofed Pediatric Expectorant	C0307080	BN
Nucofed	C0722182	BN
Nucotuss Expectorant	C1590321	BN
Nucotuss Pediatric Expectorant	C1590479	BN
Nuelin S.A.	C1256640	BN
Nulev	C0939414	BN
Numobid DX	C1601529	BN
Numonyl DX	C1590793	BN
Numonyl Drops Pediatric	C1589346	BN
Numonyl	C1602719	BN
Numorphan HCl	C0722185	BN
Numotac	C1263579	BN
Nupercainal HC 1%	C0722187	BN
Nupercainal Suppositories	C0307086	BN
Nupercainal	C0795766	BN
Nuprin Backache	C0722188	BN
Nuprin	C0699205	BN
Nuquin HP	C0722189	BN
Nurofen Advance	C0731527	BN
Nurofen For Children	C0731517	BN
Nuromax	C0133255	BN
Nutr-E-Sol	C0722190	BN
NutraDrops	C1636726	BN
Nutracort	C0699398	BN
Nutraplus	C0722193	BN
Nutri-Twelve	C1589616	BN
Nutrimix	C1618839	BN
Nutropin AQ	C0722196	BN
Nutropin Depot	C0876109	BN
Nutropin	C0699619	BN
Nux Vomica extract	C0982294	IN
Ny-Tannic	C1700074	BN
Nyamyc	C1613605	BN
Nycopren	C0591891	BN
Nydamax	C1879014	BN
Nydrazid	C0702201	BN
Nylidrin Hydrochloride	C0282268	IN
Nylidrin	C0028735	IN
Nyquil Child Cough and Cold	C0722197	BN
Nyquil Cold Medicine	C0722198	BN
Nyquil Cough	C1879156	BN
Nyquil Hot Therapy	C0722199	BN
Nyquil Liquicap	C0722200	BN
Nyst-Olone II	C0722201	BN
Nystaform-HC	C0617551	BN
Nystamont	C0592550	BN
Nystan	C0591893	BN
Nystatin Dome	C0731302	BN
Nystatin	C0028741	IN
Nystavescent	C1263219	BN
Nystex	C0699474	BN
Nystop	C0722203	BN
Nytol Caplet	C0722204	BN
Nytol Maximum Strength	C0722205	BN
Nytol Quickgels	C1878986	BN
OAT BRAN	C0795649	IN
OCTODRINE CAMSYLATE	C0772193	IN
OCTODRINE	C0772192	IN
OCTYL METHOXYCINNAMATE	C0046100	IN
OLUX	C0939416	BN
OMS brand of Morphine Sulfate	C0722208	BN
OPIUM, POWDERED	C0724656	IN
ORGAN CONCENTRATES	C0770598	IN
ORTHOPHENYLPHENOL	C0046525	IN
OXILOFRINE HCL	C0771841	IN
OXTAFLUOROPROPANE	C1177219	IN
OXYFEDRINE HCL	C0772068	IN
Oaklide	C1170454	BN
Oats preparation	C0939905	IN
Obagi Nu Derm	C1588738	BN
Obagi Nu-Derm Sunfader	C1724766	BN
Obagi	C1724509	BN
Obenix	C0722210	BN
Obephen	C0722211	BN
Obezine	C0722212	BN
Obidoxime Chloride	C0028757	IN
Obidoxime	C0086728	IN
Oby-Cap	C0722214	BN
Oby-Trim	C0722215	BN
Ocatmide	C1588348	BN
Occlusal-HP	C0307097	BN
Ocean brand of sodium chloride	C0722216	BN
Octagam	C0731209	BN
Octisalate	C1614609	IN
Octocaine with Epinephrine	C1588081	BN
Octocaine	C0949345	BN
Octoxynol-9	C0133689	IN
Octoxynol	C0069359	IN
Octreotide Acetate Novaplus	C1813382	BN
Octreotide Acetate	C0724649	IN
Octreotide	C0028833	IN
Octycine-100	C0722218	BN
Octycine-250	C0722219	BN
Octycine	C0722217	BN
Ocu-Carpine	C0722220	BN
Ocu-Chlor	C1170457	BN
Ocu-Cort	C0722221	BN
Ocu-Dex	C1170458	BN
Ocu-Flur 10	C0722222	BN
Ocu-Mycin	C1170460	BN
Ocu-Pentolate	C1170461	BN
Ocu-Phrin	C1170462	BN
Ocu-Pred Forte	C1170464	BN
Ocu-Pred-A	C1170465	BN
Ocu-Pred	C1170463	BN
Ocu-Spore-B	C1171282	BN
Ocu-Spore-G	C1171283	BN
Ocu-Sul 10	C1170466	BN
Ocu-Sul 15	C1170467	BN
Ocu-Sul 30	C1170468	BN
Ocu-Tracin	C1170469	BN
Ocu-Trol	C1171284	BN
Ocu-Tropic	C1170470	BN
Ocu-caine	C1170471	BN
Ocu-tropine	C0722223	BN
Ocu-zoline	C1170472	BN
Ocuclear	C0722224	BN
Ocucoat	C0591898	BN
Ocufen	C0307101	BN
Ocuflox	C0722226	BN
Ocuhist	C0722227	BN
Ocumycin	C0722228	BN
Ocupress	C0722229	BN
Ocusulf-10	C0722231	BN
Ocutricin HC	C1170473	BN
Ocutricin	C0722232	BN
Odorless Pain	C0722234	BN
Oestrifen	C0591901	BN
Oestrogel	C0591902	BN
Off-Eazy	C0722235	BN
Ofloxacin	C0028902	IN
Ogen	C0722236	BN
Ogestrel	C0876110	BN
Old tuberculin	C0443084	IN
Oleandomycin	C0028923	IN
Oleate	C0220884	IN
Oleic Acid	C0028928	IN
Olmesartan medoxomil	C0386393	IN
Olopatadine hydrochloride	C0771892	IN
Olsalazine sodium	C0353940	IN
Omacor	C0912903	BN
Omedia	C0939710	BN
Omega-3 Acid Ethyl Esters (USP)	C1532673	IN
Omeprazole magnesium	C0771765	IN
Omeprazole	C0028978	IN
Omni Perio-Med	C0722240	BN
Omni-Med	C0722241	BN
OmniHIB	C0245375	BN
Omnicef Omni-Pac	C0939418	BN
Omnicef	C0285868	BN
Omnihist L.A.	C0722242	BN
Omnihist	C1577504	BN
Omnii	C1564170	BN
Omnipaque 140	C0722243	BN
Omnipaque 180 Redi-Unit	C0722245	BN
Omnipaque 180	C0722244	BN
Omnipaque 210	C0722246	BN
Omnipaque 240 Redi-Unit	C0722248	BN
Omnipaque 240	C0722247	BN
Omnipaque 300	C0722249	BN
Omnipaque 350	C0728781	BN
Omnipaque Flexipak	C0722250	BN
Omnipaque	C0729203	BN
Omnipen-N	C0722251	BN
Omnipen	C0700946	BN
Omniscan Safepak	C1170479	BN
Omniscan	C0722252	BN
Omnitrope	C1724675	BN
Omnopon	C0028982	BN
Oncaspar	C0728753	BN
Oncet	C0722253	BN
Oncovin	C0591904	BN
Ondanestron	C1724340	BN
Ondansetron Hydrochloride Novaplus	C1828957	BN
Ondansetron Monohydrochloride	C0700478	IN
Ondansetron	C0061851	IN
One Step Pinworm Treatment	C0722256	BN
One Touch	C1703482	BN
One-Alpha	C0591905	BN
Ontak	C0722264	BN
Onxol	C0939420	BN
Ony-Clear	C0722265	BN
Opana	C1723005	BN
Opcon-A	C0722266	BN
Operidine	C0740066	BN
Ophthaine	C0701338	BN
Ophthetic	C0133997	BN
Ophthocort	C0307117	BN
Opiates	C0376196	IN
Opilon	C0591908	BN
Opipramol Hydrochloride	C0282270	IN
Opipramol	C0029105	IN
Opium Deodorized	C0722267	BN
Opium	C0029112	IN
Oprelvekin	C0537670	IN
Oprisine	C0591909	BN
Optase	C1711699	BN
Opti-Clear	C0722268	BN
OptiMARK	C0675791	BN
OptiPranolol	C0722269	BN
Opticaine	C1648702	BN
Opticell AM PM	C1588756	BN
Opticrom Aqueous	C0731219	BN
Opticrom	C0591910	BN
Opticyl	C0722270	BN
Optigene 3	C0722272	BN
Optil SR	C1254246	BN
Optil XL	C1254248	BN
Optil	C0595568	BN
Optilast	C0731682	BN
Optimax WV	C1263629	BN
Optimax	C0591911	BN
Optimine	C0591912	BN
Optimum brand of activated charcoal	C1829302	BN
Optimum brand of magnesium gluconate	C1829305	BN
Optiray 160	C0722276	BN
Optiray 240	C0722277	BN
Optiray 300	C0378120	BN
Optiray 320	C0208752	BN
Optiray 350	C0722278	BN
Optivar	C0876112	BN
Opustan	C0591913	BN
Or-Phen-Ade	C0722280	BN
Ora Relief	C1724185	BN
Orabase Baby Teething Gel	C0722281	BN
Orabase Gel-B	C1949147	BN
Orabase HCA	C0307123	BN
Orabase Lip Healer	C0722282	BN
Orabase with Benzocaine	C0722283	BN
Orabet Metformin	C1744715	BN
Orabid	C1602598	BN
Oracea	C1724190	BN
Oracit	C0722284	BN
Oradent	C1588564	BN
Oradexon	C0701250	BN
Oragest TD	C1602601	BN
Oragrafin Calcium	C0722285	BN
Oragrafin Sodium	C0722286	BN
Orajel Baby Nighttime	C0722289	BN
Orajel Baby	C0722288	BN
Orajel Bleeding Gum Rinse	C1949449	BN
Orajel D	C0722290	BN
Orajel Denture	C0722291	BN
Orajel Maximum Strength PM	C0722293	BN
Orajel Maximum Strength	C0722292	BN
Orajel Mouth Sore Rinse	C1949171	BN
Orajel Mouth-Aid Liquid	C0722295	BN
Orajel Mouth-Aid	C0722294	BN
Orajel Perioseptic Maximum Strength	C0876113	BN
Orajel	C0722287	BN
Oral B Anti-Cavity	C0722297	BN
Oral B Fluorinse	C1589299	BN
Oral-B Minute-Foam	C1703091	BN
Oralone	C1589273	BN
Oramorph SR	C0700785	BN
Oramorph	C0591917	BN
Orange C	C0722300	BN
Orap	C0591918	BN
Orapred	C0939711	BN
Oraqix	C1098704	BN
Orasone	C0728771	BN
Oratuss 12	C1735969	BN
Oratuss	C1588327	BN
Orazinc 110	C0722304	BN
Orazinc 220	C0722305	BN
Orazinc	C0722303	BN
Orbenin	C0700961	BN
Orbexa	C1602224	BN
Orciprenaline	C0029193	IN
Ordrine AT	C0722307	BN
Ordrine	C0722306	BN
Orelox	C0740018	BN
Orencia	C1700021	BN
Oretic	C0700696	BN
Oreticyl 25	C0722308	BN
Oreticyl 50	C0722309	BN
Oreticyl Forte	C0722310	BN
Oreton Methyl	C0722311	BN
Orfadin	C1120964	BN
Orfro	C0722312	BN
Orgadin-Tuss DM	C1170483	BN
Orgadin	C1170482	BN
Orgafol	C0591919	BN
Organ-1 NR	C0722313	BN
Organidin NR	C0722314	BN
Organidin	C0733596	BN
Orgaran	C0163842	BN
Orinase Diagnostic	C0722316	BN
Orinase	C0701229	BN
Orlaam	C0722317	BN
Orlenta	C0722318	BN
Orlept	C0591921	BN
Ormazine	C0722319	BN
Ornade Spansules	C0722320	BN
Ornex Max	C1948848	BN
Ornex Maximum Strength	C0722322	BN
Ornex	C0722321	BN
Ornidazole	C0029274	IN
Ornipressin	C0029276	IN
Ornithine, (L)-Isomer	C0887117	IN
Ornithine	C0029277	IN
Oro Clense	C1590098	BN
Orostat	C1590044	BN
Orotic Acid	C0029300	IN
Orovite Comploment	C0731223	BN
Orphenadrine Citrate	C0029310	IN
Orphenadrine Hydrochloride	C0699481	IN
Orphenadrine	C0029309	IN
Orphenate	C0722323	BN
Orphengesic Forte	C0876115	BN
Orphengesic	C0876114	BN
Orso	C1589178	BN
Ortho CS	C1602015	BN
Ortho Cyclen	C1337075	BN
Ortho Dienestrol	C0722325	BN
Ortho Evra	C1614506	BN
Ortho Novum	C0722328	BN
Ortho Prefest	C1704110	BN
Ortho Tri-Cyclen Lo	C1170485	BN
Ortho-Cept	C0733614	BN
Ortho-Est	C0722326	BN
Ortho-Gynest	C0731224	BN
Ortho-Gynol Contraceptive	C0722327	BN
Ortho-Novin	C0591925	BN
Orthoclone OKT3	C0733466	BN
Orthowash	C1612990	BN
Orudis KT	C0722333	BN
Orudis	C0700190	BN
Oruvail	C0591927	BN
Orvaten	C1602883	BN
Os Cal 500 with D	C0876752	BN
Os-Cal 250 with D	C0722334	BN
Os-Cal with D	C0722206	BN
OsCal 500	C0722336	BN
Oscion	C1724194	BN
Oseltamivir phosphate	C0872908	IN
Oseltamivir	C0874161	IN
Osmitrol	C0699451	BN
OsmoPrep	C1695411	BN
Osmoglyn	C0722337	BN
OspA protein	C0134235	IN
Otex	C0731228	BN
Oti-Med	C0722339	BN
Oti-sone	C1170486	BN
Otic Ear Care	C0722340	BN
Otic Tridesilon	C0722341	BN
Otic care	C0722342	BN
Oticaine	C0722343	BN
Oticot HC	C1170487	BN
Otigesic	C0722344	BN
Otimar	C0722345	BN
Otirx	C1330446	BN
Oto Care	C1588858	BN
Otoalgan	C1588844	BN
Otobiotic	C0722346	BN
Otocain	C0722347	BN
Otocort Sterile Suspension	C0722349	BN
Otocort	C1178719	BN
Otomar HC	C0722350	BN
Otomycet HC	C1589759	BN
Otosol HC	C1589762	BN
Otozone	C0722351	BN
Otrivin	C0733859	BN
Otrivine	C0731229	BN
Ouabain	C0029904	IN
Ouabaine Arnaud	C1262575	BN
Outgro Pain Relief	C0722352	BN
Ovaban	C0733353	BN
Ovace Foam	C1589442	BN
Ovace Wash	C1589447	BN
Ovace	C1170488	BN
Ovcon	C0722353	BN
Ovex brand of mebendazole	C1256378	BN
Ovide	C0876117	BN
Ovidrel	C0939421	BN
Ovral	C0728964	BN
Ovrette	C0699169	BN
Ox bile extract	C0301478	IN
Oxacillin Sodium	C0037536	IN
Oxacillin	C0029983	IN
Oxamniquine	C0029994	IN
Oxandrin	C0728775	BN
Oxandrolone	C0029995	IN
Oxanid	C1263611	BN
Oxazepam	C0029997	IN
Oxerutins	C0206828	IN
Oxiconazole nitrate	C0142160	IN
Oxilan	C1174296	BN
Oxipor VHC	C0617594	BN
Oxis Turbohaler	C1263506	BN
Oxistat	C0722355	BN
Oxitropium bromide	C0134499	IN
Oxivent	C0591932	BN
Oxolinic Acid	C0030031	IN
Oxprenolol Hydrochloride	C0700460	IN
Oxprenolol	C0030040	IN
Oxsoralen Topical	C0722356	BN
Oxsoralen-Ultra	C0722357	BN
Oxsoralen	C0740127	BN
Oxy 10	C0591933	BN
Oxy Balance	C1637877	BN
Oxy Clean Medicated	C0722359	BN
Oxy Face Scrub	C1948299	BN
Oxy Nightwatch Maximum Strength	C0722360	BN
Oxy Oral	C0722361	BN
Oxy Vanishing Gel	C0722362	BN
Oxy-Otic	C0722363	BN
OxyIR	C0722367	BN
Oxybutynin chloride	C0134394	IN
Oxychlorosene sodium	C0724657	IN
Oxycodone Hydrochloride	C0282274	IN
Oxycodone	C0030049	IN
Oxycontin	C0722364	BN
Oxydose	C1170489	BN
Oxyfast	C0722365	BN
Oxyfedrine	C0030053	IN
Oxyfrin	C0722366	BN
Oxygen	C0030054	IN
Oxymed	C1587930	BN
Oxymeta-12	C0722368	BN
Oxymetazoline hydrochloride	C0357797	IN
Oxymetazoline	C0030071	IN
Oxymetholone	C0030072	IN
Oxymorphone Hydrochloride	C0282275	IN
Oxymorphone	C0030073	IN
Oxynorm	C1602113	BN
Oxyphenbutazone	C0030078	IN
Oxyphencyclimine hydrochloride	C0304424	IN
Oxyphenisatin	C0031422	IN
Oxyphenonium Bromide	C0086757	IN
Oxyphenonium	C0030082	IN
Oxyprenix SR	C0591936	BN
Oxyquinoline Potassium Sulfate (2:1)	C0886852	IN
Oxyquinoline Sulfate	C0086760	IN
Oxyquinoline	C0000665	IN
Oxyrapid	C1602116	BN
Oxytetracycline Calcium	C0282277	IN
Oxytetracycline Dihydrate	C0887052	IN
Oxytetracycline Hydrochloride	C0017449	IN
Oxytetracycline	C0030092	IN
Oxytocin	C0030095	IN
Oxytrol	C1174892	BN
Oysco 500	C0722370	BN
Oysco D with Calcium	C0722372	BN
Oysco-500 with D	C0722373	BN
Oyst Cal 500	C0722375	BN
Oyst Cal	C0722374	BN
Oyst Calcium	C0722376	BN
Oyst-Cal-D	C0722377	BN
Oyster Cal 500	C0722380	BN
Oyster Cal	C0722379	BN
Oyster Calcium	C0719103	BN
Oyster Shell Calcium 500	C0722383	BN
Oyster Shell Calcium with Vitamin D	C0722384	BN
Oyster Shell/D	C0722385	BN
Oyster Shell	C0722381	BN
Oyster brand of calcium carbonate	C0722378	BN
Oyster-D	C0722386	BN
Oystercal-D	C0722387	BN
P & S	C0722388	BN
P Bloc	C1615241	BN
P Chlor DM	C1635053	BN
P Chlor GG	C1635229	BN
P Tuss D	C1590469	BN
P Tuss DM	C1590038	BN
P Tuss	C1588499	BN
P-1000	C0722389	BN
P-A-C Analgesic	C0722390	BN
P-Hist DM	C1829322	BN
P-Hist	C1876783	BN
P-Tann D	C1828966	BN
P-Tann	C1828965	BN
P-Tex	C0722391	BN
P-V-Tussin Syrup	C1875969	BN
P-V-Tussin	C0722393	BN
P.T.E.-4	C0722394	BN
P.T.E.-5	C0722395	BN
P.V.P	C0730723	BN
P1E1	C0722396	BN
P2E1	C0722397	BN
P3E1	C0722398	BN
P4E1	C0722399	BN
P6E1	C0722400	BN
PALGIC D	C0722434	BN
PALMITOYL COLLAGEN ACID	C0771682	IN
PALS chlorophyll copper complex	C0722401	BN
PAPAVERETUM HYDROCHLORIDE	C0795651	IN
PARACHLOROMETOXYLENOL	C0982307	IN
PARETHOXYCAINE HCL	C0771504	IN
PARETHOXYCAINE	C0771503	IN
PARGEVERINE HCL	C0771730	IN
PARGEVERINE	C0771729	IN
PB-Ergo-Bell	C0722402	BN
PBZ-SR	C0722404	BN
PBZ	C0722403	BN
PC Pen VK	C0722405	BN
PC-10	C0722406	BN
PC-CAP	C0722407	BN
PCE Dispertab	C0722408	BN
PCE brand of erythromycin	C1588205	BN
PCM Allergy	C1813700	BN
PCM-LA	C1330447	BN
PD Cof	C1740063	BN
PD His D	C1742014	BN
PD Hist D	C1738640	BN
PDM GG	C1590851	BN
PEDIARIX	C1170508	BN
PEDTE-PAK-4	C0722527	BN
PEG-Intron	C0939422	BN
PENICILLIN V CALCIUM	C0771798	IN
PENTETATE INDIUM DISODIUM,IN-111	C0872898	IN
PENTETATE PENTASODIUM	C0982328	IN
PENTETATE ZINC TRISODIUM	C1337329	IN
PEPTONE,DRIED	C0982330	IN
PERAZINE DIMALONATE	C0772081	IN
PERMIROLAST POTASSIUM	C0982331	IN
PERMIROLAST	C0991863	IN
PERTUSSIS VACCINE,ADSORBED	C1321962	IN
PETROLATUM DISTILLATES	C1117712	IN
PHEN-TUSS AD	C1601453	BN
PHENAMETH VC	C1601456	BN
PHENAVENT PED	C1601249	BN
PHENAVENT	C1601263	BN
PHENDIMETRAZINE HYDROCHLORIDE	C0960052	IN
PHENICARBAZIDE	C0770986	IN
PHENMETRAZINE THEOCLATE	C0771952	IN
PHENTERMINE RESIN COMPLEX	C0982339	IN
PHENTERMINE RESIN	C0724659	IN
PHENYLALANINE,DL-	C0772277	IN
PHENYLBUTAZONE PIPERAZINE	C0771618	IN
PHENYLBUTAZONE SODIUM	C0771813	IN
PHENYLEHRINE	C1117748	IN
PHENYLPROPANOLAMINE BITARTRATE	C0724661	IN
PHENYLTOLOXAMINE POLISTIREX	C0772105	IN
PHENYLTOLOXAMINE RESIN COMPLEX	C0982340	IN
PHOLEDRINE SULFATE	C0771943	IN
PHOSPHOLIPID,BEEF	C0772067	IN
PHOSPHORUS (AS DICALCIUM PHOSPHATE)	C0795598	IN
PINE BARK EXTRACT	C0872909	IN
PIPAZETHATE HCL	C0771766	IN
PIPERAZINE HEXAHYDRATE	C0892282	IN
PIPERONYL BUTOXIDE TECHNICAL	C0991866	IN
PIPOXOLAN HCL	C0771060	IN
PIRBUTEROL HCL	C0770491	IN
PIRISUDANOL MALEATE	C0771422	IN
PMB	C0722410	BN
PNEUMOCOCCAL VACCINE, DIPHTHERIA CONJUGATE	C0937644	IN
POISON IVY EXTRACT	C0771343	IN
POLICRESULEN	C0137757	IN
POLLEN EXTRACTS	C0770737	IN
POLYETHYLENE GLYCOL 3350	C0724672	IN
POLYOXYETHYLENE ETHER	C0770623	IN
POTASSIUM ESTRONE	C1117888	IN
POTASSIUM GLUCOHEPTONATE	C0771514	IN
POTASSIUM LACTATE	C0982353	IN
POTASSIUM OXYQUINOLONE	C1117900	IN
POTASSIUM SALICYLATE	C0770438	IN
POTASSIUM SULFIDE	C0772233	IN
POTASSIUM TRIPLATES	C0770165	IN
POTASSIUM,CHELATED	C0872910	IN
PP-Cap	C0722413	BN
PPA-GG CR	C0722414	BN
PRAJMALINE BITARTRATE	C0032901	IN
PRALIDOXIME IODIDE	C0138210	IN
PRIDINOL HCL	C0772194	IN
PROCYANIDOLIC OLIGOMER	C0771949	IN
PROMETH VC	C1601465	BN
PROMETHAZINE DIOXIDE	C0772132	IN
PROMETHAZINE HYDROBROMIDE	C0982361	IN
PROPICILLIN POTASSIUM	C0771910	IN
PROPINOX HCL	C0772087	IN
PROPYLENE GLYCOL SALICYLATE	C0771722	IN
PROTAMINE HCL	C0771747	IN
PROTEINASE INHIBITOR (HUMAN)	C1113112	IN
PSE Allergy DM	C1724202	BN
PSE Allergy	C1724206	BN
PSE Brom DM	C1170500	BN
PSE Carb DM	C1724210	BN
PSE Sinus	C0722415	BN
PSE-GG CR	C0720555	BN
PSE-GG TR	C0722416	BN
PSEUDOEPHEDRINE POLISTIREX	C1337137	IN
PSEUDOEPHEDRINE TANNATE	C0724676	IN
PSYLLIUM HYDROCOLLOID	C0982366	IN
PSYLLIUM HYDROPHILIC MUCILLOID	C0982367	IN
PSYLLIUM MUCILLOID	C0982368	IN
PSYLLIUM SEED COATINGS,BLOND	C0982369	IN
PTPNS1 protein, human	C0671702	IN
PULSATILLA PRATENSIS	C0937775	IN
PYRIDOXINE PHOSPHOSERINATE	C0772119	IN
PYRILAMINE TANNATE	C0724679	IN
PYRITHIONE DISULFIDE	C0771554	IN
PYRITINOL HCL	C0771788	IN
Pacaps	C0722417	BN
Pacerone	C0722418	BN
Pacifene	C0591938	BN
Pacis	C1165245	BN
Pacitron	C1263631	BN
Paclitaxel Novaplus	C1330455	BN
Paclitaxel	C0144576	IN
Pain Relief (Effervescent)	C0722421	BN
Pain Relief PM Added Strength	C0722423	BN
Pain Relief PM	C0722422	BN
Pain Relief brand of acetaminophen	C0722420	BN
Pain Relief with Aspirin	C0722424	BN
Pain Relieve brand of acetaminophen	C0722425	BN
Pain Reliever Added Strength	C0722427	BN
Pain Reliever PM	C0722428	BN
Pain-A-Lay Gargle	C0722431	BN
Pain-Eze	C0722432	BN
Pain-Gesic	C0722433	BN
Palaprin Forte	C0135099	BN
Palcaps 10	C1590542	BN
Palcaps 20	C1590613	BN
Paldesic	C0730725	BN
Palfium	C0591940	BN
Palgic-DC	C0722435	BN
Palgic-DS	C0876118	BN
Palgic	C1330456	BN
Palifermin	C0677829	IN
Palipase MT 16	C1590562	BN
Palipase MT 20	C1590574	BN
Palipase	C1590528	BN
Palladone-SR	C0594402	BN
Palladone	C0730726	BN
Palonosetron hydrochloride	C1310734	IN
Palpeon DR 10	C1590545	BN
Palpeon DR 20	C1590619	BN
Paltrase	C1590537	BN
Paludrine	C0282100	BN
Pamelor	C0030256	BN
Pamidronate Disodium Novaplus	C1330457	BN
Pamidronate Disodium	C0356588	IN
Pamine Forte	C1330458	BN
Pamine	C0722436	BN
Pamprin ES Multi-Symptom Relief Formula	C0722437	BN
Pamprin Maximum Pain	C0722438	BN
Pan-Mist LA	C0722441	BN
PanOxyl 10	C0722477	BN
PanOxyl 5	C0722478	BN
PanOxyl AQ	C1589029	BN
PanOxyl	C0699282	BN
Panacet	C0722442	BN
Panadol Jr.	C0722443	BN
Panadol	C0699141	BN
Panafil White	C0722445	BN
Panafil	C0722444	BN
Panaleve	C0591944	BN
